ค่าเช่า/เดือน,ประเภทห้อง,พื้นที่ห้อง (ตารางเมตร),ชั้น,ค่าเช่าต่อตารางเมตร,,,,,
12000,1,32,4,375,,,,,
14000,1,32,9,437.5,,,,,
14500,สตูดิโอ,27,4,537.037037,,,,,
14000,1,35,20,400,,,,,
16000,1,30,4,533.3333333,,,,,
22000,1,40.6,6,541.8719212,,,,,
19000,1,37.3,2,509.383378,,,,,
23000,1,32,29,718.75,,,,,
11000,สตูดิโอ,28,2,392.8571429,,,,,
22000,1,34.3,23,641.3994169,,,,,
8000,1,35,4,228.5714286,,,,,
13500,สตูดิโอ,25,22,540,,,,,
14000,สตูดิโอ,28,2,500,,,,,
18000,1,40,6,450,,,,,
18000,1,58.5,3,307.6923077,,,,,
19000,2,43,17,441.8604651,,,,,
18500,1,36,11,513.8888889,,,,,
10000,1,35.5,17,281.6901408,,,,,
11000,สตูดิโอ,29,3,379.3103448,,,,,
15000,1,30,8,500,,,,,
16000,สตูดิโอ,37,5,432.4324324,,,,,
15000,1,35,9,428.5714286,,,,,
8000,สตูดิโอ,30,8,266.6666667,,,,,
15000,1,38,7,394.7368421,,,,,
15000,1,35,1,428.5714286,,,,,
16000,1,26,5,615.3846154,,,,,
16500,1,26,4,634.6153846,,,,,
18000,1,26,7,692.3076923,,,,,
12500,1,28,6,446.4285714,,,,,
16000,1,30,20,533.3333333,,,,,
15000,1,28,4,535.7142857,,,,,
25000,2,44,15,568.1818182,,,,,
23000,2,45.4,17,506.6079295,,,,,
31000,2,49,14,632.6530612,,,,,
20000,2,48,8,416.6666667,,,,,
15000,สตูดิโอ,22,33,681.8181818,,,,,
18000,สตูดิโอ,33,3,545.4545455,,,,,
45000,2,51,4,882.3529412,,,,,
15000,สตูดิโอ,25.5,15,588.2352941,,,,,
18000,สตูดิโอ,33,7,545.4545455,,,,,
9000,1,35,8,257.1428571,,,,,
12000,1,32,24,375,,,,,
16000,สตูดิโอ,23,33,695.6521739,,,,,
22000,1,45,8,488.8888889,,,,,
16500,สตูดิโอ,26.4,7,625,,,,,
15500,1,31,14,500,,,,,
20000,1,38,6,526.3157895,,,,,
18000,1,37,5,486.4864865,,,,,
17000,1,34,14,500,,,,,
13000,สตูดิโอ,26,14,500,,,,,
27000,1,45,10,600,,,,,
8000,สตูดิโอ,28.5,6,280.7017544,,,,,
25000,1,40,15,625,,,,,
7500,สตูดิโอ,26,2,288.4615385,,,,,
15500,สตูดิโอ,26,12,596.1538462,,,,,
20000,สตูดิโอ,30,16,666.6666667,,,,,
13000,1,30,17,433.3333333,,,,,
12000,สตูดิโอ,22,10,545.4545455,,,,,
12000,1,43,2,279.0697674,,,,,
17000,1,33,9,515.1515152,,,,,
26000,2,50,5,520,,,,,
18000,1,30,20,600,,,,,
22000,1,35,5,628.5714286,,,,,
18500,สตูดิโอ,40,37,462.5,,,,,
15000,1,30,5,500,,,,,
19000,1,43,17,441.8604651,,,,,
17000,1,46,8,369.5652174,,,,,
15000,1,30,15,500,,,,,
13000,1,27,27,481.4814815,,,,,
9000,สตูดิโอ,28,7,321.4285714,,,,,
19000,1,35.5,10,535.2112676,,,,,
30000,2,60,21,500,,,,,
12000,1,27,25,444.4444444,,,,,
15000,สตูดิโอ,38,7,394.7368421,,,,,
31000,2,63,4,492.0634921,,,,,
40000,2,60,24,666.6666667,,,,,
30000,1,43.2,16,694.4444444,,,,,
15000,1,34,5,441.1764706,,,,,
16500,1,28,8,589.2857143,,,,,
13000,สตูดิโอ,31,15,419.3548387,,,,,
15000,สตูดิโอ,26,25,576.9230769,,,,,
18500,1,40,23,462.5,,,,,
17500,สตูดิโอ,26,7,673.0769231,,,,,
15000,สตูดิโอ,27,4,555.5555556,,,,,
15000,1,27,2,555.5555556,,,,,
17000,สตูดิโอ,32,12,531.25,,,,,
13000,สตูดิโอ,26.5,2,490.5660377,,,,,
17000,1,31,24,548.3870968,,,,,
20000,2,39.6,7,505.0505051,,,,,
47000,2,76,34,618.4210526,,,,,
15000,1,37,6,405.4054054,,,,,
13000,สตูดิโอ,21,5,619.047619,,,,,
11000,1,36,23,305.5555556,,,,,
15000,1,32,18,468.75,,,,,
23000,Duplex,61,24-25,377.0491803,,,,,
17000,1,31,12,548.3870968,,,,,
13000,1,27,2,481.4814815,,,,,
20000,2,54,3,370.3703704,,,,,
24000,2,50,12A,480,,,,,
12000,1,27,27,444.4444444,,,,,
19000,สตูดิโอ,37,7,513.5135135,,,,,
17000,สตูดิโอ,37,7,459.4594595,,,,,
8000,สตูดิโอ,28,8,285.7142857,,,,,
16000,1,30,12A,533.3333333,,,,,
15000,สตูดิโอ,27,3,555.5555556,,,,,
16000,1,33,27,484.8484848,,,,,
13000,1,30,7,433.3333333,,,,,
27000,2,64,7,421.875,,,,,
26000,2,58,16,448.2758621,,,,,
15000,1,34.6,17,433.5260116,,,,,
14000,สตูดิโอ,27,3,518.5185185,,,,,
20000,1,38,3,526.3157895,,,,,
25000,2,64,16,390.625,,,,,
36000,2,60,24,600,,,,,
16000,1,30,17,533.3333333,,,,,
12000,สตูดิโอ,26,23,461.5384615,,,,,
15000,1,30,23,500,,,,,
22000,1,54,17,407.4074074,,,,,
17500,สตูดิโอ,35,12,500,,,,,
23500,1,34.5,12,681.1594203,,,,,
33000,1,54.5,22,605.5045872,,,,,
17000,1,41,20,414.6341463,,,,,
18000,สตูดิโอ,38,25,473.6842105,,,,,
13000,1,28,4,464.2857143,,,,,
17000,สตูดิโอ,27,22,629.6296296,,,,,
13000,1,42,7,309.5238095,,,,,
13000,1,29,6,448.2758621,,,,,
23000,1,40,15,575,,,,,
28000,สตูดิโอ,40,40,700,,,,,
14500,1,30,12A,483.3333333,,,,,
13500,1,30,22,450,,,,,
30000,2,62,23,483.8709677,,,,,
17000,1,64.5,1,263.5658915,,,,,
16000,สตูดิโอ,35,22,457.1428571,,,,,
19000,1,40,14,475,,,,,
30000,2,65.5,15,458.0152672,,,,,
18000,1,31,12A,580.6451613,,,,,
11000,สตูดิโอ,31.5,7,349.2063492,,,,,
15000,1,33,2,454.5454545,,,,,
7000,สตูดิโอ,23,7,304.3478261,,,,,
12000,1,28.1,5,427.0462633,,,,,
10000,1,21.5,5,465.1162791,,,,,
29000,1,59,6,491.5254237,,,,,
22000,1,35,12,628.5714286,,,,,
18000,1,40,15,450,,,,,
16500,2,61.8,2,266.9902913,,,,,
18000,1,31.2,23,576.9230769,,,,,
15500,1,35,27,442.8571429,,,,,
35000,2,60,18,583.3333333,,,,,
25000,1,35,25,714.2857143,,,,,
23000,2,60,2,383.3333333,,,,,
35000,2,65,32,538.4615385,,,,,
40000,2,68,3,588.2352941,,,,,
20000,1,50,6,400,,,,,
20500,1,31.5,26,650.7936508,,,,,
20000,1,45,18,444.4444444,,,,,
13000,1,32.5,4,400,,,,,
15000,1,38,6,394.7368421,,,,,
17000,1,37.5,7,453.3333333,,,,,
15000,1,31.5,2,476.1904762,,,,,
25000,1,45,35,555.5555556,,,,,
13000,1,30.9,5,420.7119741,,,,,
18500,1,35,6,528.5714286,,,,,
26000,2,48,11,541.6666667,,,,,
11900,1,42.4,4,280.6603774,,,,,
25000,3,74,3,337.8378378,,,,,
65000,3,101,42,643.5643564,,,,,
10000,สตูดิโอ,32,6,312.5,,,,,
15000,1,35,19,428.5714286,,,,,
15500,1,30,10,516.6666667,,,,,
6500,1,23,6,282.6086957,,,,,
12500,สตูดิโอ,22.5,16,555.5555556,,,,,
13000,สตูดิโอ,35,2,371.4285714,,,,,
15000,1,31,8,483.8709677,,,,,
16000,1,64.5,1,248.0620155,,,,,
22000,1,40,12,550,,,,,
14000,1,23,30,608.6956522,,,,,
9000,สตูดิโอ,25,5,360,,,,,
15000,1,38,16,394.7368421,,,,,
25000,1,51.3,26,487.3294347,,,,,
20000,1,45,15,444.4444444,,,,,
14500,1,28,12A,517.8571429,,,,,
16000,1,26,8,615.3846154,,,,,
20000,สตูดิโอ,50,6,400,,,,,
8800,สตูดิโอ,28,2,314.2857143,,,,,
14500,1,33,5,439.3939394,,,,,
16500,สตูดิโอ,28,7,589.2857143,,,,,
6500,สตูดิโอ,29,2,224.137931,,,,,
8500,สตูดิโอ,31,2,274.1935484,,,,,
14000,1,30,9,466.6666667,,,,,
12900,1,42,6,307.1428571,,,,,
20000,2,54,14,370.3703704,,,,,
13000,1,45,8,288.8888889,,,,,
7800,สตูดิโอ,23,4,339.1304348,,,,,
11000,1,42,6,261.9047619,,,,,
15000,1,45,6,333.3333333,,,,,
15000,1,68,10,220.5882353,,,,,
6500,1,26,7,250,,,,,
7000,1,28,7,250,,,,,
14000,1,30,16,466.6666667,,,,,
6300,1,26,7,242.3076923,,,,,
6500,1,26,6,250,,,,,
13000,สตูดิโอ,26,9,500,,,,,
15500,1,32,10,484.375,,,,,
19000,1,35,12,542.8571429,,,,,
20000,ประเภทห้อง,35,22,571.4285714,,,,,
17000,ประเภทห้อง,30,4,566.6666667,,,,,
14500,ประเภทห้อง,33,2,439.3939394,,,,,
14000,ประเภทห้อง,31,19,451.6129032,,,,,
17000,ประเภทห้อง,40,27,425,,,,,
15000,ประเภทห้อง,23,20,652.173913,,,,,
17500,ประเภทห้อง,32,12,546.875,,,,,
15000,ประเภทห้อง,30,12,500,,,,,
12000,ประเภทห้อง,30,3,400,,,,,
15000,ประเภทห้อง,58,4,258.6206897,,,,,
16500,1,32,17,515.625,,,,,
18000,1,35,8,514.2857143,,,,,
16500,1,34,7,485.2941176,,,,,
16000,ประเภทห้อง,33,23,484.8484848,,,,,
18500,ประเภทห้อง,35,6,528.5714286,,,,,
15000,ประเภทห้อง,56,2,267.8571429,,,,,
15000,ประเภทห้อง,56,1,267.8571429,,,,,
18000,ประเภทห้อง,71,8,253.5211268,,,,,
15000,ประเภทห้อง,56,6,267.8571429,,,,,
15000,ประเภทห้อง,30,14,500,,,,,
12000,ประเภทห้อง,30,2,400,,,,,
15000,ประเภทห้อง,60,6,250,,,,,
15000,ประเภทห้อง,50,6,300,,,,,
14000,ประเภทห้อง,23,26,608.6956522,,,,,
19500,1,35,6,557.1428571,,,,,
16000,1,33,26,484.8484848,,,,,
15000,ประเภทห้อง,35,29,428.5714286,,,,,
15000,ประเภทห้อง,39,15,384.6153846,,,,,
16000,ประเภทห้อง,30,7,533.3333333,,,,,
20000,ประเภทห้อง,35,32,571.4285714,,,,,
17000,ประเภทห้อง,34,17,500,,,,,
15000,ประเภทห้อง,56,6,267.8571429,,,,,
11000,ประเภทห้อง,30,4,366.6666667,,,,,
20000,ประเภทห้อง,66,2,303.030303,,,,,
13000,ประเภทห้อง,52,8,250,,,,,
13500,ประเภทห้อง,44,8,306.8181818,,,,,
13500,ประเภทห้อง,44,6,306.8181818,,,,,
18000,ประเภทห้อง,64,2,281.25,,,,,
9500,ประเภทห้อง,28,4,339.2857143,,,,,
13500,ประเภทห้อง,44,1,306.8181818,,,,,
13000,สตูดิโอ,26,21,500,,,,,
9000,สตูดิโอ,30,4,300,,,,,
9000,1,22,6,409.0909091,,,,,
6500,1,23,2,282.6086957,,,,,
18000,2,44,9,409.0909091,,,,,
12000,สตูดิโอ,27,25,444.4444444,,,,,
15000,1,33,3,454.5454545,,,,,
28000,1,46,27,608.6956522,,,,,
13000,1,30,5,433.3333333,,,,,
10000,1,26,2,384.6153846,,,,,
16000,1,32,11,500,,,,,
19000,2,60,7,316.6666667,,,,,
14000,1,27,6,518.5185185,,,,,
32000,2,30,22,1066.666667,,,,,
14000,1,33,7,424.2424242,,,,,
20000,2,47.5,31,421.0526316,,,,,
17000,1,35,6,485.7142857,,,,,
11000,1,35,5,314.2857143,,,,,
12000,1,35,6,342.8571429,,,,,
13000,1,32,8,406.25,,,,,
8000,1,29,4,275.862069,,,,,
18000,1,31,7,580.6451613,,,,,
22000,1,34,7,647.0588235,,,,,
10000,1,28.1,5,355.8718861,,,,,
9500,1,35.4,1,268.3615819,,,,,
19000,1,35,22,542.8571429,,,,,
12000,1,30,21,400,,,,,
11500,1,26,21,442.3076923,,,,,
8500,1,28,8,303.5714286,,,,,
12500,1,26,3,480.7692308,,,,,
22000,2,65,6,338.4615385,,,,,
8000,1,28,2,285.7142857,,,,,
15000,1,30,19,500,,,,,
30000,2,44,10,681.8181818,,,,,
18000,2,51,10,352.9411765,,,,,
24000,1,45,19,533.3333333,,,,,
7000,1,23,3,304.3478261,,,,,
15000,1,30,32,500,,,,,
14000,1,30,12,466.6666667,,,,,
13900,1,30,10,463.3333333,,,,,
10000,1,23,8,434.7826087,,,,,
6500,1,30,8,216.6666667,,,,,
18500,1,45,16,411.1111111,,,,,
8500,1,25,12,340,,,,,
10000,1,27,3,370.3703704,,,,,
15000,1,38,25,394.7368421,,,,,
12000,1,34,2,352.9411765,,,,,
23000,1,35,10,657.1428571,,,,,
40000,2,52,36,769.2307692,,,,,
9000,1,45,4,200,,,,,
16000,1,32,23,500,,,,,
8500,1,32,5,265.625,,,,,
15000,1,29,7,517.2413793,,,,,
16500,1,32,12,515.625,,,,,
15000,1,50,4,300,,,,,
12000,1,22,2,545.4545455,,,,,
12000,1,28,12,428.5714286,,,,,
13000,1,38,4,342.1052632,,,,,
65000,2,92,31,706.5217391,,,,,
10000,1,24,4,416.6666667,,,,,
8000,1,32,6,250,,,,,
22000,1,36,3,611.1111111,,,,,
12000,1,36,6,333.3333333,,,,,
25000,1,52,11,480.7692308,,,,,
25000,2,52,10,480.7692308,,,,,
16000,1,30,16,533.3333333,,,,,
13000,1,26,3,500,,,,,
18000,1,35,7,514.2857143,,,,,
8500,1,30,2,283.3333333,,,,,
23000,1,45,19,511.1111111,,,,,
7000,1,22,2,318.1818182,,,,,
12000,1,38,6,315.7894737,,,,,
16000,2,66,1,242.4242424,,,,,
9000,1,24,4,375,,,,,
12000,1,34,5,352.9411765,,,,,
18000,1,40,21,450,,,,,
11000,1,27,3,407.4074074,,,,,
16500,1,33,17,500,,,,,
10000,1,35,16,285.7142857,,,,,
65000,2,94,21,691.4893617,,,,,
8000,1,37,1,216.2162162,,,,,
13000,1,42,6,309.5238095,,,,,
10000,1,42,8,238.0952381,,,,,
13000,1,38,5,342.1052632,,,,,
21000,1,35,11,600,,,,,
22000,2,53,6,415.0943396,,,,,
7500,1,28,5,267.8571429,,,,,
7500,1,28,2,267.8571429,,,,,
12000,1,30,5,400,,,,,
7000,1,23,4,304.3478261,,,,,
7500,1,30,23,250,,,,,
7500,1,31,1,241.9354839,,,,,
7000,1,31,4,225.8064516,,,,,
15000,1,39,7,384.6153846,,,,,
24000,2,50,10,480,,,,,
14000,1,30,19,466.6666667,,,,,
32000,2,60,-,533.3333333,,,,,
13000,1,31,9,419.3548387,,,,,
18000,1,36,6,500,,,,,
23000,1,43,-,534.8837209,,,,,
13000,1,47,9,276.5957447,,,,,
18000,1,41,8,439.0243902,,,,,
17000,1,35,7,485.7142857,,,,,
12000,1,35,16,342.8571429,,,,,
13000,1,28,5,464.2857143,,,,,
45000,2,60,22,750,,,,,
48000,2,65,15,738.4615385,,,,,
9500,สตูดิโอ,22,3,431.8181818,,,,,
16000,1,32,5,500,,,,,
24000,1,35,23,685.7142857,,,,,
35000,3,85,ั,411.7647059,,,,,
20000,1,40,18,500,,,,,
15000,1,35,15,428.5714286,,,,,
9500,1,23,7,413.0434783,,,,,
13500,สตูดิโอ,43.5,1,310.3448276,,,,,
12500,สตูดิโอ,27,20,462.962963,,,,,
19000,2,54,4,351.8518519,,,,,
27000,2,55,27,490.9090909,,,,,
40000,1,52,36,769.2307692,,,,,
25000,1,45,10,555.5555556,,,,,
28000,1,45,30,622.2222222,,,,,
15000,1,50,7,300,,,,,
20000,1,42,6,476.1904762,,,,,
15000,1,30,21,500,,,,,
27500,1,43,27,639.5348837,,,,,
18000,1,36,4,500,,,,,
9000,1,30,15,300,,,,,
30000,1,52,19,576.9230769,,,,,
8000,1,35,9,228.5714286,,,,,
18000,2,70,8,257.1428571,,,,,
18000,1,30,6,600,,,,,
10000,1,36,12,277.7777778,,,,,
8000,1,22,8,363.6363636,,,,,
6500,1,28,2,232.1428571,,,,,
9500,1,29,2,327.5862069,,,,,
19000,1,37,27,513.5135135,,,,,
19000,1,35,25,542.8571429,,,,,
16000,1,35,24,457.1428571,,,,,
15000,1,23,33,652.173913,,,,,
19000,2,46,9,413.0434783,,,,,
9500,1,34,1,279.4117647,,,,,
18000,1,33,7,545.4545455,,,,,
22000,2,45,10,488.8888889,,,,,
26000,2,54,18,481.4814815,,,,,
9500,1,45,1,211.1111111,,,,,
32000,2,54,32,592.5925926,,,,,
22000,1,40,30,550,,,,,
8000,1,38,1,210.5263158,,,,,
19000,2,40,5,475,,,,,
15500,1,23,28,673.9130435,,,,,
25000,1,46,4,543.4782609,,,,,
15000,1,29,29,517.2413793,,,,,
13500,1,43,6,313.9534884,,,,,
15000,1,50,1,300,,,,,
25000,2,78,2,320.5128205,,,,,
16000,1,32,10,500,,,,,
9500,1,25,11,380,,,,,
9000,1,22,2,409.0909091,,,,,
15000,1,56,1,267.8571429,,,,,
21000,1,34,23,617.6470588,,,,,
35000,2,51,12,686.2745098,,,,,
7500,1,37,1,202.7027027,,,,,
7000,1,28,6,250,,,,,
16000,1,30,11,533.3333333,,,,,
15000,1,56,6,267.8571429,,,,,
15000,1,30,30,500,,,,,
14000,1,26,11,538.4615385,,,,,
13000,สตูดิโอ,26.5,16,490.5660377,,,,,
13000,สตูดิโอ,26.5,15,490.5660377,,,,,
18000,1,35,11,514.2857143,,,,,
7000,1,28.5,6,245.6140351,,,,,
10000,สตูดิโอ,22,8,454.5454545,,,,,
12000,1,32,11,375,,,,,
13000,1,34,14,382.3529412,,,,,
18000,1,38,24,473.6842105,,,,,
30000,2,51,5,588.2352941,,,,,
21000,1,35,12,600,,,,,
16000,1,35,20,457.1428571,,,,,
14000,1,28,8,500,,,,,
14000,สตูดิโอ,26,11,538.4615385,,,,,
12500,1,28,8,446.4285714,,,,,
14500,1,33,-,439.3939394,,,,,
28000,2,57,12,491.2280702,,,,,
16000,1,33,7,484.8484848,,,,,
9500,1,28,2,339.2857143,,,,,
20000,1,42,25,476.1904762,,,,,
35000,ประเภทห้อง,66,4,530.3030303,,,,,
22000,1,45,23,488.8888889,,,,,
72000,2,98,27,734.6938776,,,,,
14000,1,35,7,400,,,,,
28000,2,60,14,466.6666667,,,,,
18000,1,34,5,529.4117647,,,,,
12000,1,30,26,400,,,,,
23000,1,34,26,676.4705882,,,,,
15000,1,32,10,468.75,,,,,
13000,1,31,-,419.3548387,,,,,
9500,สตูดิโอ,25,7,380,,,,,
15000,2,45,8,333.3333333,,,,,
8500,สตูดิโอ,31,6,274.1935484,,,,,
13000,สตูดิโอ,34,11,382.3529412,,,,,
12000,1,28,21,428.5714286,,,,,
12000,1,31,12,387.0967742,,,,,
25000,2,75,5,333.3333333,,,,,
13500,1,30,10,450,,,,,
15000,สตูดิโอ,40,10,375,,,,,
11000,1,26,19,423.0769231,,,,,
6499,1,31,4,209.6451613,,,,,
16999,1,30,4,566.6333333,,,,,
12500,1,29,5,431.0344828,,,,,
12000,1,22,16,545.4545455,,,,,
17500,1,37,6,472.972973,,,,,
14000,1,57,4,245.6140351,,,,,
11500,1,31,19,370.9677419,,,,,
11500,1,47,9,244.6808511,,,,,
8500,1,30,XX,283.3333333,,,,,
16000,2,40,2,400,,,,,
24000,2,78,7,307.6923077,,,,,
15500,1,36,37,430.5555556,,,,,
19000,1,48,8,395.8333333,,,,,
8500,1,27,7,314.8148148,,,,,
17000,1,31,8,548.3870968,,,,,
12000,1,32,5,375,,,,,
11500,1,29,3,396.5517241,,,,,
30000,2,60,36,500,,,,,
17500,1,31,7,564.516129,,,,,
25000,1,35,35,714.2857143,,,,,
29000,2,50,11,580,,,,,
13000,1,27.3,6,476.1904762,,,,,
18000,1,35,24,514.2857143,,,,,
25000,1,53,19,471.6981132,,,,,
40000,2,65,15,615.3846154,,,,,
25000,2,70,6,357.1428571,,,,,
17900,1,46,24,389.1304348,,,,,
14000,1,35,12,400,,,,,
13000,1,35,3,371.4285714,,,,,
13000,1,22,16,590.9090909,,,,,
35000,2,53,38,660.3773585,,,,,
12500,1,33,9,378.7878788,,,,,
21500,1,47,11,457.4468085,,,,,
13000,1,23,17,565.2173913,,,,,
9500,1,30,3,316.6666667,,,,,
21000,1,40,21,525,,,,,
9000,1,29,2,310.3448276,,,,,
14500,สตูดิโอ,23,20,630.4347826,,,,,
13500,1,31,4,435.483871,,,,,
10500,1,27,6,388.8888889,,,,,
13000,1,28,6,464.2857143,,,,,
8700,1,28,7,310.7142857,,,,,
35000,3,86,ุ8,406.9767442,,,,,
8000,1,30,3,266.6666667,,,,,
12500,1,35,7,357.1428571,,,,,
19000,1,30,7,633.3333333,,,,,
10000,1,27,12,370.3703704,,,,,
10000,1,27,2,370.3703704,,,,,
45000,1,54,43,833.3333333,,,,,
13000,1,44,2,295.4545455,,,,,
27000,1,45,19,600,,,,,
25000,1,78,3,320.5128205,,,,,
12000,1,30,6,400,,,,,
18000,1,32,6,562.5,,,,,
12000,1,33,9,363.6363636,,,,,
14000,2,45,11,311.1111111,,,,,
8000,1,36,4,222.2222222,,,,,
40000,2,55,42,727.2727273,,,,,
16000,1,32,2,500,,,,,
17000,1,48,2,354.1666667,,,,,
15000,1,35,8,428.5714286,,,,,
13000,1,32.5,16,400,,,,,
10000,สตูดิโอ,26,3,384.6153846,,,,,
30000,1,55,11,545.4545455,,,,,
25000,1,45,21,555.5555556,,,,,
20000,2,65,5,307.6923077,,,,,
26000,2,85,4,305.8823529,,,,,
12500,สตูดิโอ,22,15,568.1818182,,,,,
18000,1,42,2,428.5714286,,,,,
32000,1,40,7,800,,,,,
18000,สตูดิโอ,44,17,409.0909091,,,,,
15000,1,31,4,483.8709677,,,,,
18000,1,37,2B,486.4864865,,,,,
22000,1,37,4ฺB,594.5945946,,,,,
20000,1,36,A3,555.5555556,,,,,
10000,1,31,8,322.5806452,,,,,
17000,1,43.3,7,392.6096998,,,,,
14000,1,40,8,350,,,,,
12000,1,31.3,7,383.3865815,,,,,
13000,1,40,โทรสอบถาม,325,,,,,
19500,1,61.5,6,317.0731707,,,,,
32000,1,53,37,603.7735849,,,,,
15000,1,42,2,357.1428571,,,,,
13500,1,35,3,385.7142857,,,,,
18000,1,34.5,11,521.7391304,,,,,
17000,1,35,10,485.7142857,,,,,
,1,31,5,,,,,,
15000,1,27,27,555.5555556,,,,,
23000,1,50,29,460,,,,,
15000,1,31,6,483.8709677,,,,,
20000,1,35,8,571.4285714,,,,,
45500,3,99,4,459.5959596,,,,,
22000,1,31.2,19,705.1282051,,,,,
15000,1,36,4,416.6666667,,,,,
20000,1,37.3,12,536.1930295,,,,,
18000,1,33.2,3,542.1686747,,,,,
60000,2,84.5,20,710.0591716,,,,,
13000,1,31,5,419.3548387,,,,,
11500,1,31,11,370.9677419,,,,,
13500,1,43,4,313.9534884,,,,,
23000,1,48,2,479.1666667,,,,,
10500,สตูดิโอ,26,5,403.8461538,,,,,
13500,2,45,11,300,,,,,
10500,1,29,3,362.0689655,,,,,
18500,1,32,20,578.125,,,,,
11500,1,30,37,383.3333333,,,,,
14500,1,35,14,414.2857143,,,,,
15000,1,30,6,500,,,,,
17500,1,34,23,514.7058824,,,,,
17000,1,26,7,653.8461538,,,,,
38500,3,87,4,442.5287356,,,,,
16000,1,41,4,390.2439024,,,,,
18000,1,56,16,321.4285714,,,,,
17000,1,36,2,472.2222222,,,,,
35000,2,62,24,564.516129,,,,,
18500,2,38,17,486.8421053,,,,,
23500,2,79,8,297.4683544,,,,,
16000,1,30,24,533.3333333,,,,,
10000,1,26,8,384.6153846,,,,,
40000,3,87,5,459.7701149,,,,,
11000,1,34,28,323.5294118,,,,,
15000,1,32,7,468.75,,,,,
18000,1,31,6,580.6451613,,,,,
18500,1,48,18,385.4166667,,,,,
31000,2,60,4,516.6666667,,,,,
8000,1,36,3,222.2222222,,,,,
12000,1,39,5,307.6923077,,,,,
12000,1,26.6,5,451.1278195,,,,,
16500,1,33,9,500,,,,,
16000,2,54,5,296.2962963,,,,,
23000,1,35,24,657.1428571,,,,,
28000,2,58,14,482.7586207,,,,,
24000,2,46,-,521.7391304,,,,,
22000,1,36,6,611.1111111,,,,,
12000,1,27,5,444.4444444,,,,,
15000,1,30,31,500,,,,,
24000,1,34,26,705.8823529,,,,,
17000,1,33,1,515.1515152,,,,,
17000,1,34,2,500,,,,,
29000,2,53,27,547.1698113,,,,,
22000,1,35,35,628.5714286,,,,,
13000,1,57,6,228.0701754,,,,,
7500,สตูดิโอ,23,-,326.0869565,,,,,
21000,1,35,20,600,,,,,
22000,1,35,9,628.5714286,,,,,
15000,1,30,10,500,,,,,
40000,2,79,9,506.3291139,,,,,
20000,1,35,17,571.4285714,,,,,
15000,1,44,8,340.9090909,,,,,
32000,1,54,22,592.5925926,,,,,
8500,1,36,8,236.1111111,,,,,
20000,1,40,19,500,,,,,
10500,สตูดิโอ,26,17,403.8461538,,,,,
12000,1,33,11,363.6363636,,,,,
10500,1,31,11,338.7096774,,,,,
29000,2,60,21,483.3333333,,,,,
27000,2,78,5,346.1538462,,,,,
12500,1,30,8,416.6666667,,,,,
20000,1,36,3,555.5555556,,,,,
22000,2,56,26,392.8571429,,,,,
12000,1,31,9,387.0967742,,,,,
24000,1,78,ุ6,307.6923077,,,,,
8000,1,23,11,347.826087,,,,,
16500,1,26,21,634.6153846,,,,,
9500,1,29,5,327.5862069,,,,,
13500,สตูดิโอ,26,35,519.2307692,,,,,
29000,2,60,18,483.3333333,,,,,
8500,1,29,3,293.1034483,,,,,
14000,1,45,6,311.1111111,,,,,
18500,1,41,4,451.2195122,,,,,
14000,1,33,17,424.2424242,,,,,
14500,1,35,10,414.2857143,,,,,
11000,1,35,3,314.2857143,,,,,
15500,1,39,15,397.4358974,,,,,
10000,1,27,7,370.3703704,,,,,
13500,1,37,26,364.8648649,,,,,
12000,1,22,9,545.4545455,,,,,
13000,1,36,8,361.1111111,,,,,
7000,1,35,8,200,,,,,
8000,1,35,1,228.5714286,,,,,
19500,1,34,3,573.5294118,,,,,
13000,1,30,3,433.3333333,,,,,
18000,2,64,8,281.25,,,,,
13000,1,11,45,1181.818182,,,,,
26000,1,45,11,577.7777778,,,,,
12000,1,28,6,428.5714286,,,,,
11999,1,32,20,374.96875,,,,,
12999,2,65,3,199.9846154,,,,,
20000,1,40,-,500,,,,,
17000,1,37,6,459.4594595,,,,,
8000,1,28,7,285.7142857,,,,,
14000,สตูดิโอ,23,17,608.6956522,,,,,
13500,สตูดิโอ,27,36,500,,,,,
8500,1,29,2,293.1034483,,,,,
9000,1,25,3,360,,,,,
37000,1,52,37,711.5384615,,,,,
10000,1,26,5,384.6153846,,,,,
11500,สตูดิโอ,26,6,442.3076923,,,,,
10000,สตูดิโอ,26,6,384.6153846,,,,,
16000,1,30,28,533.3333333,,,,,
14000,1,30,11,466.6666667,,,,,
11000,1,30,17,366.6666667,,,,,
9000,1,27.9,5,322.5806452,,,,,
7500,1,29,7,258.6206897,,,,,
13000,1,30,19,433.3333333,,,,,
17500,1,33,1,530.3030303,,,,,
14000,1,27,30,518.5185185,,,,,
18000,1,27,28,666.6666667,,,,,
8000,1,30,5,266.6666667,,,,,
16000,1,31,7,516.1290323,,,,,
11500,สตูดิโอ,22,15,522.7272727,,,,,
6000,1,22,6,272.7272727,,,,,
8500,1,31,14,274.1935484,,,,,
7500,1,28,7,267.8571429,,,,,
7000,1,26,5,269.2307692,,,,,
8000,1,24,5,333.3333333,,,,,
8000,1,25,4,320,,,,,
9000,1,30,28,300,,,,,
6800,1,31,6,219.3548387,,,,,
9000,1,26,6,346.1538462,,,,,
12500,1,35,2,357.1428571,,,,,
7000,1,31,6,225.8064516,,,,,
